time,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,nn_torque_left,nn_torque_right,nn_qHr_left,nn_qHr_right,nn_L_P,nn_L_D,nn_R_P,nn_R_D,gait_cycle
7.01,-51.0057,-0.5586,-104.0649,109.6802,-37.70941971984195,54.32724037148154,-0.8597183369872413,1.1696488428996306,-42.98591684936206,-34.42619214644761,58.482442144981526,22.49802248472347,6
7.02,-51.8462,1.5069,-85.3271,100.5249,-43.08081229548718,58.34338313990451,-0.9124230180873613,1.2219249713646265,-45.621150904368065,-36.000079562201044,61.096248568231324,23.02076758693155,6
7.03,-51.8462,1.5069,-85.3271,100.5249,-48.3987629879123,62.225389415009566,-0.9633527055130966,1.2733613940400652,-48.16763527565483,-37.38806566122677,63.66806970200326,23.507970159890803,6
7.04,-52.4944,2.4901,-67.1387,94.9097,-53.63248463656993,65.97883119549638,-1.0124279810514203,1.3238205760666821,-50.621399052571014,-38.592101476267324,66.1910288033341,23.957367069655067,6
7.05,-53.1206,3.413,-18.1274,89.6606,-58.75227179399327,69.60925326910453,-1.0595226023398088,1.3730793775916335,-52.97613011699044,-39.603367251101474,68.65396887958167,24.36663196940516,6
7.06,-53.0107,4.3029,9.4604,86.4868,-63.72970434798736,73.12158032001514,-1.104493122217899,1.420823551436539,-55.224656110894955,-40.40090175358313,71.04117757182695,24.733133277556494,6
7.07,-52.6592,5.1488,29.6631,81.2988,-68.5375251084094,76.51956573536668,-1.1472269440164817,1.4667029964981257,-57.361347200824085,-40.97085930608565,73.33514982490628,25.055208269791514,6
7.08,-52.1264,5.9563,46.1426,76.5991,-73.14966260117583,79.8053361024487,-1.1876894295530527,1.5103195940505392,-59.38447147765263,-41.31073895411253,75.51597970252696,25.331161918359168,6
7.09,-52.1264,6.6869,46.1426,72.2046,-77.54159116475512,82.97903045677216,-1.2258665557027177,1.5512256684584351,-61.29332778513589,-41.4264226771988,77.56128342292176,25.559446819709837,6
7.1,-51.3793,7.401,67.688,69.7021,-81.69082764405141,86.03854738620976,-1.2616738707171526,1.5889961852043977,-63.083693535857634,-41.32766902265411,79.44980926021988,25.739524616756963,6
7.11,-50.396,8.0492,90.7593,69.458,-85.57722678259492,88.97948039756608,-1.294901862419264,1.6232838094062398,-64.7450931209632,-41.017656297480066,81.164190470312,25.872564978504723,6
7.12,-47.8087,8.7688,135.9253,68.1152,-89.18278644270833,91.79527252936045,-1.325164631598204,1.653785966351082,-66.2582315799102,-40.48920358160786,82.6892983175541,25.961054039601944,6
7.13,-46.2487,9.4115,154.2969,59.082,-92.49095027314104,94.47748899963995,-1.351929225082639,1.6802048419852356,-67.59646125413195,-39.73215409652122,84.01024209926177,26.005655931655607,6
7.14,-44.4909,10.0487,175.1709,63.1714,-95.48578396104237,97.01608574091046,-1.3746647054898935,1.7022507760270105,-68.73323527449467,-38.74483853264521,85.11253880135052,26.006361419805163,6
7.15,-44.4909,10.6749,175.1709,58.1665,-98.15149608983116,99.39967839532743,-1.3929221020174392,1.7196620971832839,-69.64610510087196,-37.53654763603381,85.9831048591642,25.965533862379964,6
7.16,-40.3325,11.5154,223.999,34.0576,-100.47234499991518,101.61579557002342,-1.4062340200963601,1.732158659794856,-70.311701004818,-36.11438284837416,86.60793298974279,25.8798568260731,6
7.17,-40.3325,11.5154,223.999,34.0576,-102.4326055389449,103.65103976411946,-1.4141840013814733,1.7395766161540367,-70.70920006907366,-34.479131853934796,86.97883080770184,25.741057254321113,6
7.18,-37.921,11.801,243.7134,23.8647,-104.01665483514243,105.49132610201808,-1.416703761591026,1.7419647410430836,-70.8351880795513,-32.63910909841936,87.09823705215418,25.546178082084285,6
7.19,-33.5649,11.9823,177.4292,14.7705,-105.2096731131953,107.12229054694224,-1.4139891843134245,1.7392063237733164,-70.69945921567123,-30.624940103539892,86.96031618866581,25.293849891919777,6
7.2,-31.7962,12.0647,183.0444,4.3335,-105.99895773639722,108.52959138642665,-1.4060326679242718,1.7311190556988585,-70.30163339621359,-28.4840477828196,86.55595278494292,24.980859346477228,6
7.21,-29.7142,12.0647,214.1113,4.3335,-106.37492707942279,109.6992052972543,-1.3924730887783592,1.717976334270728,-69.62365443891795,-26.240889714103147,85.89881671353639,24.606559153531748,6
7.22,-27.5719,11.7955,212.4023,-22.0947,-106.3310162463643,110.61801992593345,-1.3729125671896716,1.7001273866435604,-68.64562835948358,-23.89723858109357,85.00636933217802,24.16898053666196,6
